Date, Open, High, Low, Close, Volume
11/13/19, 88.6695, 88.75, 87.3661, 87.6555, 58537839.1804703
11/12/19, 88.733, 89.311, 88.5955, 88.90, 40778499.429101
11/11/19, 88.90, 89.00, 88.3565, 88.5825, 38956199.4546132
11/08/19, 89.3945, 89.494, 88.702, 89.294, 42523959.4046646
11/07/19, 90.188, 90.295, 89.174, 89.41, 53021719.2576959
11/06/19, 90.05, 90.125, 89.429, 89.7885, 40595659.4316608
11/05/19, 90.458, 90.5125, 89.70, 90.0855, 37710859.472048
11/04/19, 90.0505, 90.753, 90.0505, 90.233, 55438439.2238619
11/01/19, 89.4005, 89.8723, 89.2605, 89.572, 55807079.2187009
10/31/19, 88.7995, 89.60, 88.5738, 88.833, 55623699.2212682
10/30/19, 88.012, 89.119, 87.9558, 88.9995, 48988099.3141666
10/29/19, 88.7405, 88.85, 87.7905, 88.1355, 45537099.3624806
10/28/19, 87.403, 88.935, 87.125, 88.854, 74177018.9615218
10/25/19, 84.8775, 88.2105, 84.75, 88.0665, 192528037.304607
10/24/19, 88.5545, 89.4169, 88.0135, 89.039, 104086998.542782
10/23/19, 88.065, 88.5025, 87.10, 88.1085, 43807599.3866936
10/22/19, 89.4075, 89.489, 88.10, 88.2865, 44688499.374361
